 Dist(deg)   ID           RA(J2000)    DEC(J2000)    Y       J       H       K       L       M    catalog
   41.9    HD201941      21:12:45.32  +02:38:33.9   0.000   0.000   0.000   0.000   6.610   6.630    U                      
   58.6    SAO34401      22:23:42.24  +55:12:25.1   0.000   0.000   0.000   0.000   7.735   7.700    U                      
    7.7    G158-27       00:06:43.00  -07:32:42.0   0.000   0.000   0.000   0.000   6.989   7.030    U                      
   55.8    BS7773        20:20:39.82  -12:45:32.7   0.000   0.000   0.000   0.000   0.000   4.860    U                      
   49.3    SA112-822     20:42:54.00  +00:15:02.0   0.000   0.000   0.000   0.000   0.000   0.000    U                      
   46.7    GL811.1       20:56:46.60  -10:26:54.6   0.000   0.000   0.000   0.000   6.691   6.720    U                      
   92.2    HD161743      17:48:57.93  -38:07:07.5   0.000   0.000   0.000   0.000   7.623   7.670    U                      
   53.5    HD203856      21:23:35.53  +40:01:07.0   0.000   0.000   0.000   0.000   6.871   6.840    U                      
   92.3    HD162208      17:47:58.56  +39:58:50.9   0.000   0.000   0.000   0.000   7.125   7.050    U                      
   53.5    BS8541        22:24:30.99  +49:28:35.0   0.000   0.000   0.000   0.000   0.000   4.200    U                      
    0.0    HST           00:00:00.00  +00:00:00.0   0.000   0.000   0.000   0.000   0.000   0.000    P                      
   14.8    FS-1          00:33:54.60  -12:07:58.9  13.738   0.000   0.000   0.000   0.000   0.000    W                      
   38.6    FS-103        00:36:29.60  +37:42:54.3  12.715   0.000   0.000   0.000   0.000   0.000    W                      
   79.8    SA110-232     18:40:52.00  +00:01:55.0   0.000   0.000   0.000   0.000   0.000   0.000    U                      
   29.4    FS-5          01:54:34.65  -06:46:00.4  12.329   0.000   0.000   0.000   0.000   0.000    W                      
   92.9    HD161903      17:48:19.22  -01:48:29.7   0.000   0.000   0.000   0.000   7.034   6.970    U                      
  150.2    HD121968      13:58:51.17  -02:54:52.3   0.000   0.000   0.000   0.000   0.000   0.000    U                      
  139.0    HD129655      14:43:46.44  -02:30:20.0   0.000   0.000   0.000   0.000   6.666   6.690    U                      
  127.4    HD84800       09:48:44.64  +43:39:55.6   0.000   0.000   0.000   0.000   7.547   7.560    U                      
  142.2    BS4550        11:52:58.77  +37:43:07.2   0.000   0.000   0.000   0.000   0.000   4.410    U                      
  141.3    HD105601      12:09:27.80  +38:37:54.6   0.000   0.000   0.000   0.000   6.669   6.700    U                      
  175.2    HD106965      12:17:57.54  +01:34:31.1   0.000   0.000   0.000   0.000   7.311   7.320    U                      
   57.2    FS-10         03:48:50.20  -00:58:31.2  14.688   0.000   0.000   0.000   0.000   0.000    W                      
  127.4    HD129653      14:42:39.56  +36:45:24.3   0.000   0.000   0.000   0.000   6.920   6.990    U                      
   93.9    SA109-381     17:44:12.00  -00:20:33.0   0.000   0.000   0.000   0.000   0.000   0.000    U                      
  125.5    HD136754      15:21:34.53  +24:20:36.1   0.000   0.000   0.000   0.000   7.158   7.130    U                      
  127.1    PG1528+062B   15:30:39.00  +06:01:13.0   0.000   0.000   0.000   0.000   0.000   0.000    U                      
  107.0    BS6092        16:19:44.44  +46:18:48.1   0.000   0.000   0.000   0.000   0.000   4.370    U                      
  110.7    SA108-475     16:37:00.00  -00:34:39.0   0.000   0.000   0.000   0.000   0.000   0.000    U                      
   16.6    FS-3          01:04:21.70  +04:13:37.0  12.506   0.000   0.000   0.000   0.000   0.000    W                      
  135.4    HD77281       09:01:38.01  -01:28:34.8   0.000   0.000   0.000   0.000   7.041   7.020    U                      
   37.9    FS-6          02:30:16.64  +05:15:51.1  13.192   0.000   0.000   0.000   0.000   0.000    W                      
   82.5    FS-143        18:29:53.79  +01:13:29.9  19.041   0.000   0.000   0.000   0.000   0.000    W                      
   47.2    P576-F        20:52:47.40  +06:40:05.0  12.473   0.000   0.000   0.000   0.000   0.000    W                      
  124.6    P272-D        14:58:33.10  +37:08:33.0  11.839   0.000   0.000   0.000   0.000   0.000    W                      
  108.6    FS-138        16:28:06.72  +34:58:48.3  10.459   0.000   0.000   0.000   0.000   0.000    W                      
  105.9    FS-27         16:40:41.29  +36:21:13.1  13.760   0.000   0.000   0.000   0.000   0.000    W                      
   83.2    FS-35         18:27:13.50  +04:03:09.8  12.499   0.000   0.000   0.000   0.000   0.000    W                      
  174.6    FS-132        12:21:39.36  -00:07:13.3  12.370   0.000   0.000   0.000   0.000   0.000    W                      
   52.3    FS-34         20:42:34.73  -20:04:34.8  12.760   0.000   0.000   0.000   0.000   0.000    W                      
  149.7    FS-21         11:37:05.15  +29:47:58.4  12.953   0.000   0.000   0.000   0.000   0.000    W                      
   51.7    FS-151        21:04:14.75  +30:30:21.2  12.449   0.000   0.000   0.000   0.000   0.000    W                      
   32.0    FS-29         21:52:25.36  +02:23:20.7  13.143   0.000   0.000   0.000   0.000   0.000    W                      
   19.6    FS-30         22:41:44.72  +01:12:36.5  11.891   0.000   0.000   0.000   0.000   0.000    W                      
   16.0    FS-31         23:12:23.07  +10:47:04.2  13.735   0.000   0.000   0.000   0.000   0.000    W                      
  142.5    FS-23         13:41:43.57  +28:29:49.5  13.358   0.000   0.000   0.000   0.000   0.000    W                      
   72.0    GL748         19:12:14.60  +02:53:11.1   0.000   0.000   0.000   0.000   6.012   6.000    U                      
  154.0    FS-33         12:57:02.30  +22:01:52.8  13.929   0.000   0.000   0.000   0.000   0.000    W                      
  111.1    RU149D        07:24:15.36  -00:32:47.9  11.402   0.000   0.000   0.000   0.000   0.000    W                      
  109.5    P309-U        07:30:34.50  +29:51:12.0  12.102   0.000   0.000   0.000   0.000   0.000    W                      
   68.7    FS-116        04:23:50.18  +26:40:07.7  14.068   0.000   0.000   0.000   0.000   0.000    W                      
   73.2    FS-11         04:52:58.92  -00:14:41.6  11.378   0.000   0.000   0.000   0.000   0.000    W                      
  104.9    FS-121        06:59:46.82  -04:54:33.2  12.464   0.000   0.000   0.000   0.000   0.000    W                      
   88.2    FS-12         05:52:27.66  +15:53:14.3  13.657   0.000   0.000   0.000   0.000   0.000    W                      
   66.1    FS-114        04:19:41.72  +16:45:22.4  15.139   0.000   0.000   0.000   0.000   0.000    W                      
  111.1    FS-14         07:24:14.40  -00:33:04.1  14.091   0.000   0.000   0.000   0.000   0.000    W                      
  166.0    FS-20         11:07:59.93  -05:09:26.1  13.389   0.000   0.000   0.000   0.000   0.000    W                      
  127.1    P545-C        08:29:25.10  +05:56:08.0  12.031   0.000   0.000   0.000   0.000   0.000    W                      
  131.7    FS-16         08:51:15.01  +11:49:21.2  13.197   0.000   0.000   0.000   0.000   0.000    W                      
  126.3    FS-125        09:03:20.60  +34:21:03.9  11.042   0.000   0.000   0.000   0.000   0.000    W                      
  155.6    FS-19         10:33:42.75  -11:41:38.3  13.535   0.000   0.000   0.000   0.000   0.000    W                      
  141.6    GL347A        09:28:53.50  -07:22:15.0   0.000   0.000   0.000   0.000   7.367   0.000    U                      
   35.8    HD225023      00:02:46.03  +35:48:55.7   0.000   0.000   0.000   0.000   6.979   6.950    U                      
   56.9    HD18881       03:03:31.94  +38:24:36.1   0.000   0.000   0.000   0.000   7.160   7.170    U                      
   54.8    HD22686       03:38:55.09  +02:45:48.6   0.000   0.000   0.000   0.000   7.199   7.160    U                      
   86.0    BS1869        05:36:15.96  +47:42:55.0   0.000   0.000   0.000   0.000   0.000   5.400    U                      
   94.5    HD44612       06:24:46.60  +43:32:54.5   0.000   0.000   0.000   0.000   7.050   7.070    U                      
   93.0    BS2228        06:17:34.65  +46:25:26.2   0.000   0.000   0.000   0.000   0.000   5.870    U                      
   87.5    HD38921       05:47:22.19  -38:13:51.3   0.000   0.000   0.000   0.000   7.513   7.490    U                      
   79.8    SAO112626     05:19:17.16  +01:42:16.1   0.000   0.000   0.000   0.000   8.559   0.000    U                      
   59.5    BS1140        03:44:48.22  +24:17:22.1   0.000   0.000   0.000   0.000   0.000   5.570    U                      
   63.7    BS696         02:25:16.03  +56:36:35.4   0.000   0.000   0.000   0.000   0.000   5.320    U                      
   11.1    FS-32         23:16:12.37  -01:50:34.6  13.469   0.000   0.000   0.000   0.000   0.000    W                      
   22.0    HD3029        00:33:39.53  +20:26:01.7   0.000   0.000   0.000   0.000   7.082   7.040    U                      
   89.6    HD40335       05:58:13.52  +01:51:23.0   0.000   0.000   0.000   0.000   6.441   6.410    U                      
    5.8    HD1160        00:15:57.30  +04:15:04.0   0.000   0.000   0.000   0.000   7.055   7.040    U                      
  103.0    SA98-653      06:52:04.95  -00:18:18.3   0.000   9.428   9.422   9.443   0.000   0.000    U                      
   64.7    FS-148        19:41:23.52  -03:50:56.1   0.000   9.437   9.423   9.438   9.460   0.000    U                      
   34.3    FS-155        23:49:47.82  +34:13:05.1   0.000   9.964   9.472   9.383   9.320   0.000    U                      
   61.3    FS-108        03:01:09.85  +46:58:47.7   0.000  10.056   9.765   9.713   9.650   0.000    U                      
   75.7    FS-119        05:02:57.44  -01:46:42.6   0.000   9.857   9.818   9.810   9.800   0.000    U                      
   78.6    FS-147        19:01:55.27  +42:29:19.6   0.000   9.868   9.839   9.834   9.840   0.000    U                      
