record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
501       00:00 12 58 15.64 -04 53 18.1 2000.0 dra=0.1056 ddec=-0.65 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       00:10 12 58 15.66 -04 53 18.2 2000.0 dra=0.0963 ddec=-0.61 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       00:20 12 58 15.67 -04 53 18.3 2000.0 dra=0.0877 ddec=-0.58 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       00:30 12 58 15.69 -04 53 18.4 2000.0 dra=0.0797 ddec=-0.54 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       00:40 12 58 15.70 -04 53 18.5 2000.0 dra=0.0722 ddec=-0.52 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       00:50 12 58 15.71 -04 53 18.6 2000.0 dra=0.0654 ddec=-0.49 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       01:00 12 58 15.72 -04 53 18.7 2000.0 dra=0.0591 ddec=-0.47 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       01:10 12 58 15.73 -04 53 18.7 2000.0 dra=0.0534 ddec=-0.45 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       01:20 12 58 15.74 -04 53 18.8 2000.0 dra=0.0484 ddec=-0.44 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       01:30 12 58 15.75 -04 53 18.9 2000.0 dra=0.0440 ddec=-0.43 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       01:40 12 58 15.76 -04 53 19.0 2000.0 dra=0.0401 ddec=-0.43 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       01:50 12 58 15.76 -04 53 19.0 2000.0 dra=0.0369 ddec=-0.42 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       02:00 12 58 15.77 -04 53 19.1 2000.0 dra=0.0344 ddec=-0.43 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       02:10 12 58 15.77 -04 53 19.2 2000.0 dra=0.0324 ddec=-0.43 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       02:20 12 58 15.78 -04 53 19.2 2000.0 dra=0.0311 ddec=-0.45 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       02:30 12 58 15.78 -04 53 19.3 2000.0 dra=0.0304 ddec=-0.46 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       02:40 12 58 15.79 -04 53 19.4 2000.0 dra=0.0303 ddec=-0.48 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       02:50 12 58 15.79 -04 53 19.5 2000.0 dra=0.0308 ddec=-0.50 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       03:00 12 58 15.80 -04 53 19.6 2000.0 dra=0.0320 ddec=-0.53 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       03:10 12 58 15.81 -04 53 19.7 2000.0 dra=0.0338 ddec=-0.56 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
501       03:20 12 58 15.81 -04 53 19.8 2000.0 dra=0.0363 ddec=-0.59 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
