record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Io        00:00 12 57 32.35 -04 48 22.8 2000.0 dra=0.5973 ddec=-3.59 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        00:10 12 57 32.44 -04 48 23.4 2000.0 dra=0.5747 ddec=-3.45 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        00:20 12 57 32.54 -04 48 24.0 2000.0 dra=0.5525 ddec=-3.31 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        00:30 12 57 32.63 -04 48 24.5 2000.0 dra=0.5305 ddec=-3.18 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        00:40 12 57 32.72 -04 48 25.0 2000.0 dra=0.5087 ddec=-3.04 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        00:50 12 57 32.80 -04 48 25.5 2000.0 dra=0.4873 ddec=-2.91 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        01:00 12 57 32.88 -04 48 26.0 2000.0 dra=0.4662 ddec=-2.78 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        01:10 12 57 32.95 -04 48 26.4 2000.0 dra=0.4454 ddec=-2.65 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        01:20 12 57 33.03 -04 48 26.9 2000.0 dra=0.4249 ddec=-2.52 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        01:30 12 57 33.10 -04 48 27.3 2000.0 dra=0.4048 ddec=-2.40 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        01:40 12 57 33.16 -04 48 27.7 2000.0 dra=0.3850 ddec=-2.28 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        01:50 12 57 33.23 -04 48 28.1 2000.0 dra=0.3657 ddec=-2.16 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        02:00 12 57 33.29 -04 48 28.4 2000.0 dra=0.3467 ddec=-2.05 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        02:10 12 57 33.34 -04 48 28.7 2000.0 dra=0.3281 ddec=-1.93 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        02:20 12 57 33.40 -04 48 29.1 2000.0 dra=0.3099 ddec=-1.82 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        02:30 12 57 33.45 -04 48 29.3 2000.0 dra=0.2922 ddec=-1.72 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        02:40 12 57 33.49 -04 48 29.6 2000.0 dra=0.2749 ddec=-1.61 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
