record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Neptune   05:00 23 01 33.90 -07 14 16.5 2000.0 dra=-0.142 ddec=-1.00 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   05:10 23 01 33.87 -07 14 16.7 2000.0 dra=-0.142 ddec=-1.00 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   05:20 23 01 33.85 -07 14 16.8 2000.0 dra=-0.142 ddec=-1.00 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   05:30 23 01 33.83 -07 14 17.0 2000.0 dra=-0.142 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   05:40 23 01 33.80 -07 14 17.2 2000.0 dra=-0.143 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   05:50 23 01 33.78 -07 14 17.3 2000.0 dra=-0.143 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   06:00 23 01 33.75 -07 14 17.5 2000.0 dra=-0.143 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   06:10 23 01 33.73 -07 14 17.7 2000.0 dra=-0.143 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   06:20 23 01 33.71 -07 14 17.8 2000.0 dra=-0.144 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   06:30 23 01 33.68 -07 14 18.0 2000.0 dra=-0.144 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   06:40 23 01 33.66 -07 14 18.2 2000.0 dra=-0.144 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   06:50 23 01 33.63 -07 14 18.4 2000.0 dra=-0.144 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   07:00 23 01 33.61 -07 14 18.5 2000.0 dra=-0.145 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   07:10 23 01 33.58 -07 14 18.7 2000.0 dra=-0.145 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   07:20 23 01 33.56 -07 14 18.9 2000.0 dra=-0.145 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   07:30 23 01 33.54 -07 14 19.0 2000.0 dra=-0.145 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   07:40 23 01 33.51 -07 14 19.2 2000.0 dra=-0.145 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   07:50 23 01 33.49 -07 14 19.4 2000.0 dra=-0.146 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   08:00 23 01 33.46 -07 14 19.5 2000.0 dra=-0.146 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   08:10 23 01 33.44 -07 14 19.7 2000.0 dra=-0.146 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   08:20 23 01 33.41 -07 14 19.9 2000.0 dra=-0.146 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   08:30 23 01 33.39 -07 14 20.0 2000.0 dra=-0.147 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   08:40 23 01 33.36 -07 14 20.2 2000.0 dra=-0.147 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   08:50 23 01 33.34 -07 14 20.4 2000.0 dra=-0.147 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   09:00 23 01 33.31 -07 14 20.5 2000.0 dra=-0.147 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   09:10 23 01 33.29 -07 14 20.7 2000.0 dra=-0.148 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   09:20 23 01 33.26 -07 14 20.9 2000.0 dra=-0.148 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   09:30 23 01 33.24 -07 14 21.1 2000.0 dra=-0.148 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   09:40 23 01 33.21 -07 14 21.2 2000.0 dra=-0.148 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   09:50 23 01 33.19 -07 14 21.4 2000.0 dra=-0.149 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   10:00 23 01 33.16 -07 14 21.6 2000.0 dra=-0.149 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   10:10 23 01 33.14 -07 14 21.7 2000.0 dra=-0.149 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   10:20 23 01 33.11 -07 14 21.9 2000.0 dra=-0.149 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   10:30 23 01 33.09 -07 14 22.1 2000.0 dra=-0.149 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   10:40 23 01 33.06 -07 14 22.2 2000.0 dra=-0.150 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   10:50 23 01 33.04 -07 14 22.4 2000.0 dra=-0.150 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   11:00 23 01 33.01 -07 14 22.6 2000.0 dra=-0.150 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   11:10 23 01 32.99 -07 14 22.7 2000.0 dra=-0.150 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   11:20 23 01 32.96 -07 14 22.9 2000.0 dra=-0.150 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   11:30 23 01 32.94 -07 14 23.1 2000.0 dra=-0.150 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
Neptune   11:40 23 01 32.91 -07 14 23.3 2000.0 dra=-0.150 ddec=-1.01 rotmode=pa rotdest=0 vmag=7.84 rmag=7.84
