record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Titan     00:00 17 25 08.63 -21 55 26.0 2000.0 dra=-0.662 ddec=1.052 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     00:10 17 25 08.51 -21 55 25.9 2000.0 dra=-0.662 ddec=1.052 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     00:20 17 25 08.39 -21 55 25.7 2000.0 dra=-0.662 ddec=1.052 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     00:30 17 25 08.27 -21 55 25.5 2000.0 dra=-0.663 ddec=1.053 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     00:40 17 25 08.15 -21 55 25.3 2000.0 dra=-0.663 ddec=1.054 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     00:50 17 25 08.03 -21 55 25.2 2000.0 dra=-0.663 ddec=1.054 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     01:00 17 25 07.92 -21 55 25.0 2000.0 dra=-0.663 ddec=1.055 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     01:10 17 25 07.80 -21 55 24.8 2000.0 dra=-0.663 ddec=1.056 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     01:20 17 25 07.68 -21 55 24.6 2000.0 dra=-0.664 ddec=1.058 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     01:30 17 25 07.56 -21 55 24.4 2000.0 dra=-0.664 ddec=1.059 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     01:40 17 25 07.44 -21 55 24.3 2000.0 dra=-0.664 ddec=1.061 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     01:50 17 25 07.32 -21 55 24.1 2000.0 dra=-0.664 ddec=1.063 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     02:00 17 25 07.20 -21 55 23.9 2000.0 dra=-0.665 ddec=1.064 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     02:10 17 25 07.08 -21 55 23.7 2000.0 dra=-0.665 ddec=1.067 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     02:20 17 25 06.96 -21 55 23.5 2000.0 dra=-0.665 ddec=1.069 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     02:30 17 25 06.84 -21 55 23.4 2000.0 dra=-0.665 ddec=1.071 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     02:40 17 25 06.72 -21 55 23.2 2000.0 dra=-0.665 ddec=1.074 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     02:50 17 25 06.60 -21 55 23.0 2000.0 dra=-0.666 ddec=1.076 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     03:00 17 25 06.48 -21 55 22.8 2000.0 dra=-0.666 ddec=1.079 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     03:10 17 25 06.36 -21 55 22.6 2000.0 dra=-0.666 ddec=1.082 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     03:20 17 25 06.24 -21 55 22.4 2000.0 dra=-0.666 ddec=1.086 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     03:30 17 25 06.12 -21 55 22.3 2000.0 dra=-0.666 ddec=1.089 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     03:40 17 25 06.00 -21 55 22.1 2000.0 dra=-0.667 ddec=1.092 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     03:50 17 25 05.88 -21 55 21.9 2000.0 dra=-0.667 ddec=1.096 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     04:00 17 25 05.76 -21 55 21.7 2000.0 dra=-0.667 ddec=1.100 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     04:10 17 25 05.64 -21 55 21.5 2000.0 dra=-0.667 ddec=1.104 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     04:20 17 25 05.52 -21 55 21.3 2000.0 dra=-0.667 ddec=1.108 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     04:30 17 25 05.40 -21 55 21.1 2000.0 dra=-0.667 ddec=1.112 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     04:40 17 25 05.28 -21 55 20.9 2000.0 dra=-0.667 ddec=1.116 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     04:50 17 25 05.16 -21 55 20.8 2000.0 dra=-0.667 ddec=1.121 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     05:00 17 25 05.04 -21 55 20.6 2000.0 dra=-0.667 ddec=1.125 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     05:10 17 25 04.92 -21 55 20.4 2000.0 dra=-0.667 ddec=1.130 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     05:20 17 25 04.80 -21 55 20.2 2000.0 dra=-0.667 ddec=1.134 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     05:30 17 25 04.68 -21 55 20.0 2000.0 dra=-0.667 ddec=1.139 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     05:40 17 25 04.56 -21 55 19.8 2000.0 dra=-0.667 ddec=1.144 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     05:50 17 25 04.44 -21 55 19.6 2000.0 dra=-0.667 ddec=1.149 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     06:00 17 25 04.32 -21 55 19.4 2000.0 dra=-0.667 ddec=1.154 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     06:10 17 25 04.21 -21 55 19.2 2000.0 dra=-0.667 ddec=1.159 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     06:20 17 25 04.09 -21 55 19.0 2000.0 dra=-0.666 ddec=1.165 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     06:30 17 25 03.97 -21 55 18.8 2000.0 dra=-0.666 ddec=1.170 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     06:40 17 25 03.85 -21 55 18.6 2000.0 dra=-0.666 ddec=1.175 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     06:50 17 25 03.73 -21 55 18.4 2000.0 dra=-0.666 ddec=1.181 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     07:00 17 25 03.61 -21 55 18.2 2000.0 dra=-0.665 ddec=1.186 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     07:10 17 25 03.49 -21 55 18.0 2000.0 dra=-0.665 ddec=1.191 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     07:20 17 25 03.37 -21 55 17.8 2000.0 dra=-0.665 ddec=1.197 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     07:30 17 25 03.25 -21 55 17.6 2000.0 dra=-0.664 ddec=1.202 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     07:40 17 25 03.13 -21 55 17.4 2000.0 dra=-0.664 ddec=1.208 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     07:50 17 25 03.01 -21 55 17.2 2000.0 dra=-0.663 ddec=1.213 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     08:00 17 25 02.89 -21 55 17.0 2000.0 dra=-0.663 ddec=1.219 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     08:10 17 25 02.77 -21 55 16.8 2000.0 dra=-0.662 ddec=1.224 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     08:20 17 25 02.65 -21 55 16.6 2000.0 dra=-0.662 ddec=1.230 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     08:30 17 25 02.53 -21 55 16.4 2000.0 dra=-0.661 ddec=1.235 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     08:40 17 25 02.41 -21 55 16.2 2000.0 dra=-0.660 ddec=1.241 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     08:50 17 25 02.30 -21 55 16.0 2000.0 dra=-0.660 ddec=1.246 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     09:00 17 25 02.18 -21 55 15.7 2000.0 dra=-0.659 ddec=1.251 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     09:10 17 25 02.06 -21 55 15.5 2000.0 dra=-0.658 ddec=1.257 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     09:20 17 25 01.94 -21 55 15.3 2000.0 dra=-0.658 ddec=1.262 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     09:30 17 25 01.82 -21 55 15.1 2000.0 dra=-0.657 ddec=1.267 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     09:40 17 25 01.70 -21 55 14.9 2000.0 dra=-0.656 ddec=1.272 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     09:50 17 25 01.59 -21 55 14.7 2000.0 dra=-0.655 ddec=1.277 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     10:00 17 25 01.47 -21 55 14.5 2000.0 dra=-0.654 ddec=1.282 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     10:10 17 25 01.35 -21 55 14.2 2000.0 dra=-0.654 ddec=1.287 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     10:20 17 25 01.23 -21 55 14.0 2000.0 dra=-0.653 ddec=1.291 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     10:30 17 25 01.12 -21 55 13.8 2000.0 dra=-0.652 ddec=1.296 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     10:40 17 25 01.00 -21 55 13.6 2000.0 dra=-0.651 ddec=1.300 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     10:50 17 25 00.88 -21 55 13.4 2000.0 dra=-0.650 ddec=1.305 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     11:00 17 25 00.77 -21 55 13.1 2000.0 dra=-0.649 ddec=1.309 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     11:10 17 25 00.65 -21 55 12.9 2000.0 dra=-0.648 ddec=1.313 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     11:20 17 25 00.53 -21 55 12.7 2000.0 dra=-0.647 ddec=1.317 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     11:30 17 25 00.42 -21 55 12.5 2000.0 dra=-0.646 ddec=1.321 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
