record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Uranus    00:00 01 45 31.76 +10 17 03.6 2000.0 dra=0.1266 ddec=0.625 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    00:10 01 45 31.78 +10 17 03.7 2000.0 dra=0.1268 ddec=0.625 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    00:20 01 45 31.80 +10 17 03.8 2000.0 dra=0.1271 ddec=0.625 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    00:30 01 45 31.82 +10 17 03.9 2000.0 dra=0.1273 ddec=0.625 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    00:40 01 45 31.84 +10 17 04.0 2000.0 dra=0.1275 ddec=0.626 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    00:50 01 45 31.86 +10 17 04.1 2000.0 dra=0.1277 ddec=0.626 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    01:00 01 45 31.89 +10 17 04.2 2000.0 dra=0.1279 ddec=0.626 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    01:10 01 45 31.91 +10 17 04.3 2000.0 dra=0.1281 ddec=0.626 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    01:20 01 45 31.93 +10 17 04.4 2000.0 dra=0.1283 ddec=0.627 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    01:30 01 45 31.95 +10 17 04.5 2000.0 dra=0.1284 ddec=0.627 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    01:40 01 45 31.97 +10 17 04.6 2000.0 dra=0.1286 ddec=0.627 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    01:50 01 45 31.99 +10 17 04.7 2000.0 dra=0.1288 ddec=0.628 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    02:00 01 45 32.02 +10 17 04.8 2000.0 dra=0.1289 ddec=0.628 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    02:10 01 45 32.04 +10 17 04.9 2000.0 dra=0.1290 ddec=0.628 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    02:20 01 45 32.06 +10 17 05.0 2000.0 dra=0.1291 ddec=0.629 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    02:30 01 45 32.08 +10 17 05.1 2000.0 dra=0.1293 ddec=0.629 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    02:40 01 45 32.10 +10 17 05.2 2000.0 dra=0.1293 ddec=0.630 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    02:50 01 45 32.13 +10 17 05.4 2000.0 dra=0.1294 ddec=0.630 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    03:00 01 45 32.15 +10 17 05.5 2000.0 dra=0.1295 ddec=0.631 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    03:10 01 45 32.17 +10 17 05.6 2000.0 dra=0.1296 ddec=0.631 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    03:20 01 45 32.19 +10 17 05.7 2000.0 dra=0.1296 ddec=0.632 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    03:30 01 45 32.21 +10 17 05.8 2000.0 dra=0.1296 ddec=0.632 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    03:40 01 45 32.24 +10 17 05.9 2000.0 dra=0.1296 ddec=0.633 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    03:50 01 45 32.26 +10 17 06.0 2000.0 dra=0.1296 ddec=0.633 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    04:00 01 45 32.28 +10 17 06.1 2000.0 dra=0.1296 ddec=0.634 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    04:10 01 45 32.30 +10 17 06.2 2000.0 dra=0.1296 ddec=0.634 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    04:20 01 45 32.32 +10 17 06.3 2000.0 dra=0.1296 ddec=0.635 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    04:30 01 45 32.35 +10 17 06.4 2000.0 dra=0.1295 ddec=0.636 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    04:40 01 45 32.37 +10 17 06.5 2000.0 dra=0.1294 ddec=0.636 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    04:50 01 45 32.39 +10 17 06.6 2000.0 dra=0.1294 ddec=0.637 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    05:00 01 45 32.41 +10 17 06.7 2000.0 dra=0.1293 ddec=0.637 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    05:10 01 45 32.43 +10 17 06.8 2000.0 dra=0.1292 ddec=0.638 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    05:20 01 45 32.46 +10 17 06.9 2000.0 dra=0.1290 ddec=0.638 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    05:30 01 45 32.48 +10 17 07.0 2000.0 dra=0.1289 ddec=0.639 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    05:40 01 45 32.50 +10 17 07.2 2000.0 dra=0.1287 ddec=0.639 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    05:50 01 45 32.52 +10 17 07.3 2000.0 dra=0.1286 ddec=0.640 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    06:00 01 45 32.54 +10 17 07.4 2000.0 dra=0.1284 ddec=0.640 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    06:10 01 45 32.56 +10 17 07.5 2000.0 dra=0.1282 ddec=0.641 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    06:20 01 45 32.59 +10 17 07.6 2000.0 dra=0.1280 ddec=0.641 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
